category,sector,title,detail,outlay
Distributive,Finance,Credit Guarantee Scheme for MSMEs,60% guarantee on loans up to ₹100 crore for MSME equipment purchases; total guarantee cap of ₹7 lakh crore.,"₹7,00,000 crore (guarantee)"
Distributive,Finance,Collateral-Free Agricultural Loans — limit raised,RBI raised the collateral-free farm loan ceiling from ₹1.6 lakh to ₹2 lakh per borrower.,-
Distributive,Finance,NPS Vatsalya — Pension Scheme for Minors,"National Pension System extended to minors (below 18); minimum ₹1,000 to open, transitions to regular NPS at 18.",-
Distributive,Finance,UPI Incentive Scheme for Low-Value Transactions,"0.15% incentive per P2M transaction up to ₹2,000 to promote digital payments among small merchants.","₹1,500 crore"
Distributive,Agriculture,MSP for Kharif & Rabi Crops 2024-25,"Assured procurement prices increased across crops — paddy +5%, tur +8%, wheat +6.6%, nigerseed +13%.",-
Distributive,Agriculture,PM Annadata Aay Sanrakshan Abhiyan (PM-AASHA),"Continuation of Price Support, Price Stabilisation Fund, Price Deficit Payment & Market Intervention schemes.","₹35,000 crore"
Distributive,Agriculture,Nutrient Based Subsidy on Fertilisers,Subsidy on P&K fertilisers for Rabi 2024 and Kharif 2025.,"₹61,692 crore (combined)"
Distributive,Agriculture,Clean Plant Programme,9 Clean Plant Centres for virus-free planting material; certification under Seeds Act.,"₹1,766 crore"
Distributive,Agriculture,National Mission on Edible Oils — Oilseeds,Raise primary oilseed production from 39 MT to 70 MT by 2030-31; 65 new seed hubs.,"₹10,103 crore"
Distributive,Agriculture,Agriculture Infrastructure Fund — Expansion,AIF expanded to cover community farming assets and integrated processing projects.,-
Distributive,Agriculture,Credit Guarantee Scheme for e-NWR Pledge Financing,Guarantee cover of 75-85% on loans against electronic negotiable warehousing receipts.,"₹1,000 crore (corpus)"
Distributive,Agriculture,National Mission on Natural Farming,"15,000 clusters, 1 crore farmers, 7.5 lakh hectares; 30,000 Krishi Sakhis deployed.","₹2,481 crore"
Distributive,Agriculture,PM-RKVY & Krishonnati Yojana (Rationalised),Two umbrella schemes for sustainable agriculture and food security.,"₹1,01,322 crore (combined)"
Distributive,Agriculture,Free Fortified Rice under PMGKAY (Extended),Free supply of micronutrient-enriched rice extended from July 2024 to December 2028.,-
